timestamp,value
2018-06-13 07:00:00,2991
2018-06-13 07:01:00,2980
2018-06-13 07:02:00,2903
2018-06-13 07:03:00,2937
2018-06-13 07:04:00,2867
2018-06-13 07:05:00,2691
2018-06-13 07:06:00,2718
2018-06-13 07:07:00,2582
2018-06-13 07:08:00,2600
2018-06-13 07:09:00,2716
2018-06-13 07:10:00,2742
2018-06-13 07:11:00,2774
2018-06-13 07:12:00,2714
2018-06-13 07:13:00,2790
2018-06-13 07:14:00,2871
2018-06-13 07:15:00,2782
2018-06-13 07:16:00,2511
2018-06-13 07:17:00,2711
2018-06-13 07:18:00,2689
2018-06-13 07:19:00,2869
2018-06-13 07:20:00,2869
2018-06-13 07:21:00,2661
2018-06-13 07:22:00,2566
2018-06-13 07:23:00,2572
2018-06-13 07:24:00,2608
2018-06-13 07:25:00,2665
2018-06-13 07:26:00,2548
2018-06-13 07:27:00,2420
2018-06-13 07:28:00,2506
2018-06-13 07:29:00,2615
2018-06-13 07:30:00,2546
2018-06-13 07:31:00,2555
2018-06-13 07:32:00,2536
2018-06-13 07:33:00,2498
2018-06-13 07:34:00,2459
2018-06-13 07:35:00,2376
2018-06-13 07:36:00,2256
2018-06-13 07:37:00,2241
2018-06-13 07:38:00,2299
2018-06-13 07:39:00,2335
2018-06-13 07:40:00,2447
2018-06-13 07:41:00,2455
2018-06-13 07:42:00,2405
2018-06-13 07:43:00,2368
2018-06-13 07:44:00,2377
2018-06-13 07:45:00,2365
2018-06-13 07:46:00,2336
2018-06-13 07:47:00,2301
2018-06-13 07:48:00,2375
2018-06-13 07:49:00,2322
2018-06-13 07:50:00,2227
2018-06-13 07:51:00,2329
2018-06-13 07:52:00,2242
2018-06-13 07:53:00,2352
2018-06-13 07:54:00,2259
2018-06-13 07:55:00,2312
2018-06-13 07:56:00,2272
2018-06-13 07:57:00,2136
2018-06-13 07:58:00,2351
2018-06-13 07:59:00,2317
2018-06-13 08:00:00,2423
2018-06-13 08:01:00,2418
2018-06-13 08:02:00,2377
2018-06-13 08:03:00,2408
2018-06-13 08:04:00,2296
2018-06-13 08:05:00,2295
2018-06-13 08:06:00,2127
2018-06-13 08:07:00,2148
2018-06-13 08:08:00,2130
2018-06-13 08:09:00,2213
2018-06-13 08:10:00,2215
2018-06-13 08:11:00,2157
2018-06-13 08:12:00,2188
2018-06-13 08:13:00,2243
2018-06-13 08:14:00,2223
2018-06-13 08:15:00,2255
2018-06-13 08:16:00,2318
2018-06-13 08:17:00,2363
2018-06-13 08:18:00,2174
2018-06-13 08:19:00,2343
2018-06-13 08:20:00,2300
2018-06-13 08:21:00,2231
2018-06-13 08:22:00,2193
2018-06-13 08:23:00,2224
2018-06-13 08:24:00,2141
2018-06-13 08:25:00,2170
2018-06-13 08:26:00,2000
2018-06-13 08:27:00,1999
2018-06-13 08:28:00,2071
2018-06-13 08:29:00,2264
2018-06-13 08:30:00,2256
2018-06-13 08:31:00,2247
2018-06-13 08:32:00,2249
2018-06-13 08:33:00,2194
2018-06-13 08:34:00,2175
2018-06-13 08:35:00,2174
2018-06-13 08:36:00,2050
2018-06-13 08:37:00,1969
2018-06-13 08:38:00,2105
2018-06-13 08:39:00,2058
2018-06-13 08:40:00,2307
2018-06-13 08:41:00,2091
2018-06-13 08:42:00,2115
2018-06-13 08:43:00,2091
2018-06-13 08:44:00,2230
2018-06-13 08:45:00,2213
2018-06-13 08:46:00,2245
2018-06-13 08:47:00,2198
2018-06-13 08:48:00,2176
2018-06-13 08:49:00,2218
2018-06-13 08:50:00,2125
2018-06-13 08:51:00,2199
2018-06-13 08:52:00,2038
2018-06-13 08:53:00,2122
2018-06-13 08:54:00,2113
2018-06-13 08:55:00,2032
2018-06-13 08:56:00,1975
2018-06-13 08:57:00,1936
2018-06-13 08:58:00,2011
2018-06-13 08:59:00,2267
2018-06-13 09:00:00,2237
2018-06-13 09:01:00,2101
2018-06-13 09:02:00,2154
2018-06-13 09:03:00,2305
2018-06-13 09:04:00,2322
2018-06-13 09:05:00,2458
2018-06-13 09:06:00,2295
2018-06-13 09:07:00,2139
2018-06-13 09:08:00,2179
2018-06-13 09:09:00,2391
2018-06-13 09:10:00,2197
2018-06-13 09:11:00,2103
2018-06-13 09:12:00,2112
2018-06-13 09:13:00,2127
2018-06-13 09:14:00,2157
2018-06-13 09:15:00,2078
2018-06-13 09:16:00,2212
2018-06-13 09:17:00,2245
2018-06-13 09:18:00,2247
2018-06-13 09:19:00,2233
2018-06-13 09:20:00,2339
2018-06-13 09:21:00,2247
2018-06-13 09:22:00,2123
2018-06-13 09:23:00,2167
2018-06-13 09:24:00,2277
2018-06-13 09:25:00,2229
2018-06-13 09:26:00,2226
2018-06-13 09:27:00,2189
2018-06-13 09:28:00,2186
2018-06-13 09:29:00,2441
2018-06-13 09:30:00,2462
2018-06-13 09:31:00,2343
2018-06-13 09:32:00,2354
2018-06-13 09:33:00,2388
2018-06-13 09:34:00,2282
2018-06-13 09:35:00,2324
2018-06-13 09:36:00,2257
2018-06-13 09:37:00,2195
2018-06-13 09:38:00,2299
2018-06-13 09:39:00,2445
2018-06-13 09:40:00,2569
2018-06-13 09:41:00,2354
2018-06-13 09:42:00,2256
2018-06-13 09:43:00,2515
2018-06-13 09:44:00,2537
2018-06-13 09:45:00,2620
2018-06-13 09:46:00,2602
2018-06-13 09:47:00,2574
2018-06-13 09:48:00,2533
2018-06-13 09:49:00,2549
2018-06-13 09:50:00,2559
2018-06-13 09:51:00,2631
2018-06-13 09:52:00,2610
2018-06-13 09:53:00,2528
2018-06-13 09:54:00,2556
2018-06-13 09:55:00,2549
2018-06-13 09:56:00,2616
2018-06-13 09:57:00,2679
2018-06-13 09:58:00,2873
2018-06-13 09:59:00,2925
2018-06-13 10:00:00,2773
2018-06-13 10:01:00,2646
2018-06-13 10:02:00,2656
2018-06-13 10:03:00,2888
2018-06-13 10:04:00,2986
2018-06-13 10:05:00,2908
2018-06-13 10:06:00,2801
2018-06-13 10:07:00,2700
2018-06-13 10:08:00,2764
2018-06-13 10:09:00,2966
2018-06-13 10:10:00,3075
2018-06-13 10:11:00,3203
2018-06-13 10:12:00,3046
2018-06-13 10:13:00,3012
2018-06-13 10:14:00,2999
2018-06-13 10:15:00,2957
2018-06-13 10:16:00,3132
2018-06-13 10:17:00,3088
2018-06-13 10:18:00,3259
2018-06-13 10:19:00,3256
2018-06-13 10:20:00,3150
2018-06-13 10:21:00,2984
2018-06-13 10:22:00,2976
2018-06-13 10:23:00,3068
2018-06-13 10:24:00,3048
2018-06-13 10:25:00,3232
2018-06-13 10:26:00,3165
2018-06-13 10:27:00,2950
2018-06-13 10:28:00,3108
2018-06-13 10:29:00,3500
2018-06-13 10:30:00,3424
2018-06-13 10:31:00,3645
2018-06-13 10:32:00,3427
2018-06-13 10:33:00,3322
2018-06-13 10:34:00,3269
2018-06-13 10:35:00,3199
2018-06-13 10:36:00,3318
2018-06-13 10:37:00,3331
2018-06-13 10:38:00,3382
2018-06-13 10:39:00,3420
2018-06-13 10:40:00,3544
2018-06-13 10:41:00,3395
2018-06-13 10:42:00,3359
2018-06-13 10:43:00,3549
2018-06-13 10:44:00,3774
2018-06-13 10:45:00,3671
2018-06-13 10:46:00,3682
2018-06-13 10:47:00,3621
2018-06-13 10:48:00,3555
2018-06-13 10:49:00,3802
2018-06-13 10:50:00,3807
2018-06-13 10:51:00,3665
2018-06-13 10:52:00,3740
2018-06-13 10:53:00,3734
2018-06-13 10:54:00,3596
2018-06-13 10:55:00,3735
2018-06-13 10:56:00,3849
2018-06-13 10:57:00,3869
2018-06-13 10:58:00,3761
