2018-06-17 07:00:00,2651
2018-06-17 07:01:00,2601
2018-06-17 07:02:00,2584
2018-06-17 07:03:00,2602
2018-06-17 07:04:00,2581
2018-06-17 07:05:00,2474
2018-06-17 07:06:00,2500
2018-06-17 07:07:00,2416
2018-06-17 07:08:00,2448
2018-06-17 07:09:00,2492
2018-06-17 07:10:00,2537
2018-06-17 07:11:00,2524
2018-06-17 07:12:00,2375
2018-06-17 07:13:00,2519
2018-06-17 07:14:00,2661
2018-06-17 07:15:00,2501
2018-06-17 07:16:00,2540
2018-06-17 07:17:00,2461
2018-06-17 07:18:00,2470
2018-06-17 07:19:00,2427
2018-06-17 07:20:00,2404
2018-06-17 07:21:00,2277
2018-06-17 07:22:00,2256
2018-06-17 07:23:00,2138
2018-06-17 07:24:00,2196
2018-06-17 07:25:00,2138
2018-06-17 07:26:00,2278
2018-06-17 07:27:00,2260
2018-06-17 07:28:00,2337
2018-06-17 07:29:00,2270
2018-06-17 07:30:00,2446
2018-06-17 07:31:00,2334
2018-06-17 07:32:00,2341
2018-06-17 07:33:00,2171
2018-06-17 07:34:00,2197
2018-06-17 07:35:00,2132
2018-06-17 07:36:00,2155
2018-06-17 07:37:00,1970
2018-06-17 07:38:00,2040
2018-06-17 07:39:00,2068
2018-06-17 07:40:00,2233
2018-06-17 07:41:00,2073
2018-06-17 07:42:00,2096
2018-06-17 07:43:00,2210
2018-06-17 07:44:00,2253
2018-06-17 07:45:00,2241
2018-06-17 07:46:00,2122
2018-06-17 07:47:00,2061
2018-06-17 07:48:00,2030
2018-06-17 07:49:00,1969
2018-06-17 07:50:00,1986
2018-06-17 07:51:00,1943
2018-06-17 07:52:00,1954
2018-06-17 07:53:00,1873
2018-06-17 07:54:00,1922
2018-06-17 07:55:00,1891
2018-06-17 07:56:00,1919
2018-06-17 07:57:00,1912
2018-06-17 07:58:00,2065
2018-06-17 07:59:00,1958
2018-06-17 08:00:00,2062
2018-06-17 08:01:00,2156
2018-06-17 08:02:00,1885
2018-06-17 08:03:00,1955
2018-06-17 08:04:00,1822
2018-06-17 08:05:00,1839
2018-06-17 08:06:00,1855
2018-06-17 08:07:00,1863
